caseid,untrustworthy_n_pre,untrustworthy_n_test,total_n_pre,total_n_test,untrustworthy_flag_pre,untrustworthy_flag_test,election_untrustworthy_n_pre,election_untrustworthy_n_test,election_untrustworthy_flag_pre,election_untrustworthy_flag_test,percentage_of_total_pre,percentage_of_total_test,college,trump_support,female,non_white,knowledge,interest,age4_30_44,age4_45_64,age4_65,age4_under_30,race4_black,race4_hispanic,race4_other,race4_white,educ4_college_grad,educ4_hs_or_less,educ4_postgrad,educ4_some_college,weight,won_election_trump,trump_support_pre
1223948695,0,0,2,10,0,0,0,0,0,0,0,0,0,1,0,0,4,2,0,0,1,0,0,0,0,1,0,0,0,1,1.065570351593,0,1
1223982035,13,6,2808,8188,1,1,2,2,2,1,0.00462962962962962,7.327796775769418e-4,0,1,1,0,4,4,0,0,1,0,0,0,0,1,0,0,0,1,0.423507440712553,0,1
1223982533,1,0,42559,57912,1,0,0,0,0,0,2.3496792687798115e-5,0,0,0,1,0,2,4,0,1,0,0,0,0,0,1,0,1,0,0,0.102586250700567,0,0
1223982653,0,0,220,282,0,0,0,0,0,0,0,0,0,1,0,0,2,4,0,1,0,0,0,0,0,1,0,0,0,1,0.360088479020951,1,1
1223983795,8,72,419,1463,1,1,0,0,0,0,0.01909307875894988,0.04921394395078606,0,1,0,0,4,4,0,0,1,0,0,0,0,1,0,0,0,1,0.567474410603755,0,1
1224022737,8,16,4569,10351,1,1,3,3,3,1,0.001750930181659,0.00154574437252439,0,1,1,0,3,4,0,1,0,0,0,0,0,1,0,0,0,1,0.111984607621128,0,1
1224066387,3,2,1281,3153,1,1,0,0,0,0,0.00234192037470726,6.343165239454488e-4,0,1,1,0,3,2,0,0,1,0,0,0,0,1,0,1,0,0,2.50629004709626,1,1
1224067281,0,159,16724,43890,0,1,0,0,0,0,0,0.0036226930963773,0,0,0,0,3,3,0,1,0,0,0,0,0,1,0,0,0,1,0.956515340847612,0,0
1224067343,1,0,7277,13723,1,0,0,0,0,0,1.374192661811186e-4,0,0,0,1,0,3,3,0,1,0,0,0,0,0,1,0,0,0,1,0.291144065235428,0,0
1224113059,0,1,10760,17191,0,1,0,0,0,0,0,5.816997266011285e-5,0,1,0,0,3,4,0,0,1,0,0,0,0,1,0,0,0,1,0.791588382590513,1,1
1224156535,7,7,4752,7378,1,1,0,0,0,0,0.00147306397306397,9.487666034155598e-4,1,1,0,0,4,4,0,1,0,0,0,0,0,1,1,0,0,0,0.439563661906294,1,0
1224157951,0,0,8684,24565,0,0,0,0,0,0,0,0,0,1,0,0,3,4,0,1,0,0,0,0,0,1,0,0,0,1,0.475047979728328,1,1
1224158009,0,0,1303,837,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,1,0,0,0,0,0,1,0,0,0,1,2.34530977821297,0,1
1224197255,212,910,6655,16050,1,1,0,0,0,0,0.0318557475582269,0.05669781931464175,0,1,0,0,3,4,0,0,1,0,0,0,0,1,0,0,0,1,0.47788250277724,1,1
1224200979,0,0,509,2142,0,0,0,0,0,0,0,0,1,0,1,0,3,3,0,0,0,1,0,0,0,1,1,0,0,0,1.69762752430576,0,0
